"","cost1","cost2","target_closed_fraction","replicate","metadata","total_length","euclidean","sinuosity","total_cost"
"111",1,4,0.6,10,"targ0.6_cl_size5_r_size5targ0.7_cl_size5_r_size5targ0.8_cl_size5_r_size5targ0.9_cl_size5_r_size5",89.7401153701776,75.8023746329889,1.18386944742392,4979.57866839626
"112",1,1.5,0.7,10,"targ0.6_cl_size5_r_size5targ0.7_cl_size5_r_size5targ0.8_cl_size5_r_size5targ0.9_cl_size5_r_size5",78.8111831820431,74.2024258363566,1.06211060209609,2901.0789939909
"113",1,2,0.7,10,"targ0.6_cl_size5_r_size5targ0.7_cl_size5_r_size5targ0.8_cl_size5_r_size5targ0.9_cl_size5_r_size5",108.367532368147,94.9210198006743,1.141660009508,9980.25215575073
"114",1,4,0.7,10,"targ0.6_cl_size5_r_size5targ0.7_cl_size5_r_size5targ0.8_cl_size5_r_size5targ0.9_cl_size5_r_size5",109.225396744416,90.8019823572151,1.20289660984188,9846.9157657029
"115",1,1.5,0.8,10,"targ0.6_cl_size5_r_size5targ0.7_cl_size5_r_size5targ0.8_cl_size5_r_size5targ0.9_cl_size5_r_size5",78.6690475583121,72.069410986909,1.09157333855,4707.29161186633
"116",1,2,0.8,10,"targ0.6_cl_size5_r_size5targ0.7_cl_size5_r_size5targ0.8_cl_size5_r_size5targ0.9_cl_size5_r_size5",129.539105243401,113.27841806805,1.14354620635311,14758.8565517942
"117",1,4,0.8,10,"targ0.6_cl_size5_r_size5targ0.7_cl_size5_r_size5targ0.8_cl_size5_r_size5targ0.9_cl_size5_r_size5",94.9827560572969,82.1522975941635,1.15617893642508,7718.05974826983
"118",1,1.5,0.9,10,"targ0.6_cl_size5_r_size5targ0.7_cl_size5_r_size5targ0.8_cl_size5_r_size5targ0.9_cl_size5_r_size5",88.2253967444162,80.4487414444751,1.09666596593445,6862.91285171311
"119",1,2,0.9,10,"targ0.6_cl_size5_r_size5targ0.7_cl_size5_r_size5targ0.8_cl_size5_r_size5targ0.9_cl_size5_r_size5",101.124891681028,93.8136450629651,1.07793372289453,6807.59842929883
"120",1,4,0.9,10,"targ0.6_cl_size5_r_size5targ0.7_cl_size5_r_size5targ0.8_cl_size5_r_size5targ0.9_cl_size5_r_size5",95.8406204335659,76.4198926981712,1.25413183727042,10828.240890165
"121",1,1.5,0.6,11,"targ0.6_cl_size5_r_size5targ0.7_cl_size5_r_size5targ0.8_cl_size5_r_size5targ0.9_cl_size5_r_size5",105.852813742386,100.124921972504,1.05720745302009,8680.38740781476
"122",1,2,0.6,11,"targ0.6_cl_size5_r_size5targ0.7_cl_size5_r_size5targ0.8_cl_size5_r_size5targ0.9_cl_size5_r_size5",116.053823869162,101.118742080783,1.14769845313589,5861.62320388491
"123",1,4,0.6,11,"targ0.6_cl_size5_r_size5targ0.7_cl_size5_r_size5targ0.8_cl_size5_r_size5targ0.9_cl_size5_r_size5",88.3259018078045,67.8969807870718,1.30088114057382,4073.99148315901
"124",1,1.5,0.7,11,"targ0.6_cl_size5_r_size5targ0.7_cl_size5_r_size5targ0.8_cl_size5_r_size5targ0.9_cl_size5_r_size5",62.7401153701776,60.1082357085949,1.04378567480074,1850.0574941786
"125",1,2,0.7,11,"targ0.6_cl_size5_r_size5targ0.7_cl_size5_r_size5targ0.8_cl_size5_r_size5targ0.9_cl_size5_r_size5",92.0121933088198,78.390050389064,1.17377387630377,4729.11678333646
"126",1,4,0.7,11,"targ0.6_cl_size5_r_size5targ0.7_cl_size5_r_size5targ0.8_cl_size5_r_size5targ0.9_cl_size5_r_size5",103.740115370178,89.5544527089524,1.15840265036656,7332.05751265377
